('2019-01-15T03:10:53.480Z',	  '12.5262',	  '-87.606',	  '70.61',	  '  4.5',	  '   mb',	  '  166',	  '0.568',	  '    1',	  '   us',	 'us2000j408',	  '2019-01-15T16:44:47.715Z',	  ' 29km',	  '   SW',	  '   of',	  'Jiquilillo,',	  'Nicaragua',	  'earthquake',	  '  8.6',	  ' 12.4',	  '0.059',	 '   85'),
('2019-01-15T01:58:55.090Z',	  '-5.9772',	  '146.6097',	  '   35',	  '  4.9',	  '   mb',	  '   41',	  ' 3.98',	  ' 0.85',	  '   us',	 'us2000j3zy',	  '2019-01-15T02:15:06.958Z',	  ' 89km',	  '  ENE',	  '   of',	  'Kainantu,',	  'Papua',	  '  New',	  'Guinea',	  'earthquake',	  '  8.5',	 '    2'),
('2019-01-15T01:55:53.590Z',	  '14.7334',	  '56.0714',	  '   10',	  '  4.6',	  '   mb',	  '  157',	  '10.16',	  ' 0.72',	  '   us',	 'us2000j3zx',	  '2019-01-15T02:21:04.040Z',	  ' Owen',	  'Fracture',	  ' Zone',	  'region',	  'earthquake',	  ' 13.9',	  '    2',	  '0.112',	  '   24',	 'reviewed'),
('2019-01-15T01:25:04.410Z',	  '38.949',	  '20.5913',	  ' 6.25',	  '  4.5',	  '   mb',	  '   74',	  ' 0.98',	  ' 0.67',	  '   us',	 'us2000j3z9',	  '2019-01-15T02:36:06.040Z',	  ' 13km',	  '    W',	  '   of',	  'Preveza,',	  'Greece',	  'earthquake',	  '    3',	  '  5.4',	  '0.106',	 '   26'),
('2019-01-15T00:56:29.980Z',	  '-5.6967',	  '130.2355',	  '167.5',	  '  4.7',	  '   mb',	  '   52',	  '2.504',	  ' 1.09',	  '   us',	 'us2000j3yy',	  '2019-01-15T01:13:24.040Z',	  '276km',	  '  NNW',	  '   of',	  'Saumlaki,',	  'Indonesia',	  'earthquake',	  '  8.2',	  '  7.2',	  '0.076',	 '   52'),
('2019-01-14T23:59:53.400Z',	  '1.7028',	  '99.0705',	  '15.03',	  '  4.9',	  '   mb',	  '   98',	  '1.546',	  ' 0.82',	  '   us',	 'us2000j3yg',	  '2019-01-15T03:24:48.267Z',	  ' 32km',	  '    E',	  '   of',	  'Sibolga,',	  'Indonesia',	  'earthquake',	  '  2.9',	  '  3.7',	  '0.066',	 '   71'),
('2019-01-14T23:03:56.540Z',	  '44.4228',	  '12.2978',	  '   10',	  '  4.5',	  '  mwr',	  '   22',	  '1.176',	  ' 0.73',	  '   us',	 'us2000j3y5',	  '2019-01-16T13:50:41.717Z',	  '  7km',	  '    E',	  '   of',	  'Ravenna,',	  'Italy',	  'earthquake',	  '  3.9',	  '  1.9',	  '0.046',	 '   45'),
('2019-01-14T21:37:48.800Z',	  '51.6467',	  '-176.8115',	  '62.01',	  '  4.6',	  '   mb',	  '  140',	  '0.248',	  ' 0.74',	  '   us',	 'us2000j3w9',	  '2019-01-14T23:06:28.958Z',	  ' 28km',	  '  SSW',	  '   of',	  'Adak,',	  'Alaska',	  'earthquake',	  ' 11.9',	  '  6.5',	  '0.076',	 '   52'),
('2019-01-14T13:49:42.020Z',	  '40.2668',	  '77.2486',	  ' 30.3',	  '  4.6',	  '   mb',	  '  116',	  ' 1.52',	  ' 0.85',	  '   us',	 'us2000j3rd',	  '2019-01-14T14:17:35.040Z',	  '116km',	  '   NE',	  '   of',	  'Arzak,',	  'China',	  'earthquake',	  '  6.8',	  '  6.2',	  '0.132',	 '   17'),
('2019-01-14T10:54:50.920Z',	  '21.3373',	  '101.7416',	  '   10',	  '  4.6',	  '   mb',	  '   53',	  '2.007',	  '  1.1',	  '   us',	 'us2000j3qb',	  '2019-01-14T14:02:07.040Z',	  ' 24km',	  '   SE',	  '   of',	  'Mengla,',	  'China',	  'earthquake',	  '  6.3',	  '  1.9',	  '0.116',	 '   22'),
('2019-01-14T08:43:02.930Z',	  '52.6541',	  '-170.2982',	  '   72',	  '  4.5',	  '   mb',	  '  166',	  '2.963',	  ' 0.82',	  '   us',	 'us2000j3p7',	  '2019-01-14T20:57:49.575Z',	  ' 27km',	  '    E',	  '   of',	  'Yunaska',	  'Island,',	  'Alaska',	  'earthquake',	  '   10',	  '  7.5',	 '0.049'),
('2019-01-14T06:36:13.890Z',	  '23.8879',	  '64.4699',	  '   10',	  '  4.7',	  '   mb',	  '  102',	  '7.607',	  ' 0.92',	  '   us',	 'us2000j3n9',	  '2019-01-14T17:48:15.915Z',	  '147km',	  '    S',	  '   of',	  'Ormara,',	  'Pakistan',	  'earthquake',	  '  9.7',	  '  1.9',	  '0.063',	 '   78'),
('2019-01-14T05:58:15.990Z',	  '55.3798',	  '164.4618',	  '   10',	  '  4.6',	  '   mb',	  '   73',	  '4.149',	  ' 0.79',	  '   us',	 'us2000j3n1',	  '2019-01-14T07:50:21.040Z',	  ' 99km',	  '  WNW',	  '   of',	  'Nikol'skoye,',	  'Russia',	  'earthquake',	  '  9.8',	  '  1.8',	  '0.043',	 '  166'),
('2019-01-14T04:23:40.950Z',	  '36.2058',	  '139.8416',	  '51.55',	  '  5.1',	  '   mb',	  '   90',	  '1.364',	  ' 1.07',	  '   us',	 'us2000j3mh',	  '2019-01-16T00:16:37.934Z',	  ' 11km',	  '  SSE',	  '   of',	  'Oyama,',	  'Japan',	  'earthquake',	  '  4.2',	  '  6.1',	  '0.038',	 '  219'),
('2019-01-14T03:24:19.880Z',	  '1.6175',	  '126.4043',	  '41.72',	  '  4.6',	  '   mb',	  '  100',	  '1.277',	  ' 1.37',	  '   us',	 'us2000j3mc',	  '2019-01-14T04:17:09.040Z',	  '137km',	  '    E',	  '   of',	  'Bitung,',	  'Indonesia',	  'earthquake',	  '  6.7',	  '  6.8',	  '0.116',	 '   22'),
('2019-01-14T02:23:45.980Z',	  '-12.1624',	  '166.6904',	  '119.17',	  '  4.7',	  '   mb',	  '   79',	  '9.857',	  ' 0.89',	  '   us',	 'us2000j3m5',	  '2019-01-14T04:07:21.040Z',	  '185km',	  '  SSE',	  '   of',	  'Lata,',	  'Solomon',	  'Islands',	  'earthquake',	  ' 11.5',	  '  7.3',	 '0.096'),
('2019-01-14T00:41:19.184Z',	  '69.6199',	  '-144.9989',	  '  3.4',	  '    5',	  '   ml',	  ' 0.68',	  '   ak',	  'ak019n5rosi',	  '2019-01-15T05:21:44.040Z',	 ' 77km',	  '   SW',	  '   of',	  'Kaktovik,',	  'Alaska',	  'earthquake',	  '  1.6',	  'reviewed',	  '   ak',	  '   ak',	  '     ',	 '     '),
('2019-01-13T21:32:36.990Z',	  '-22.7022',	  '-174.2464',	  '   10',	  '    5',	  '   mb',	  '  116',	  '5.414',	  ' 1.02',	  '   us',	 'us2000j3kk',	  '2019-01-13T21:48:37.040Z',	  '168km',	  '  SSE',	  '   of',	  '`Ohonua,',	  'Tonga',	  'earthquake',	  '  5.3',	  '  1.9',	  '0.137',	 '   17'),
('2019-01-13T21:19:36.030Z',	  '0.6294',	  '126.4369',	  '42.95',	  '  4.7',	  '   mb',	  '   43',	  ' 0.94',	  ' 0.99',	  '   us',	 'us2000j3kg',	  '2019-01-13T21:41:32.040Z',	  '104km',	  '    W',	  '   of',	  ' Kota',	  'Ternate,',	  'Indonesia',	  'earthquake',	  '  7.2',	  '  8.7',	 '0.096'),
('2019-01-13T16:45:55.603Z',	  '61.2932',	  '-150.1078',	  ' 33.4',	  '    5',	  '   ml',	  ' 0.77',	  '   ak',	  'ak019lrs7iu',	  '2019-01-17T09:34:28.327Z',	 ' 15km',	  '   NW',	  '   of',	  'Anchorage,',	  'Alaska',	  'earthquake',	  '  0.5',	  'reviewed',	  '   ak',	  '   ak',	  '     ',	 '     '),
('2019-01-13T12:40:14.400Z',	  '-10.0951',	  '161.369',	  '92.04',	  '  5.3',	  '   mb',	  '   58',	  '1.545',	  ' 0.73',	  '   us',	 'us2000j3ir',	  '2019-01-13T12:58:54.040Z',	  ' 72km',	  '  WNW',	  '   of',	  'Kirakira,',	  'Solomon',	  'Islands',	  'earthquake',	  '  3.7',	  '  6.7',	 '0.057'),
('2019-01-13T12:26:59.950Z',	  '2.3932',	  '126.8615',	  '56.22',	  '  4.6',	  '   mb',	  '  107',	  '1.687',	  ' 0.97',	  '   us',	 'us2000j3il',	  '2019-01-13T13:02:50.040Z',	  '147km',	  '  WNW',	  '   of',	  'Tobelo,',	  'Indonesia',	  'earthquake',	  '  8.8',	  '  7.7',	  '0.094',	 '   34'),
('2019-01-13T12:14:45.520Z',	  '37.2968',	  '141.3887',	  '   10',	  '  4.8',	  '  mww',	  '  121',	  '0.743',	  ' 0.98',	  '   us',	 'us2000j3ik',	  '2019-01-14T04:44:22.230Z',	  ' 40km',	  '  ESE',	  '   of',	  'Namie,',	  'Japan',	  'earthquake',	  '    5',	  '  1.9',	  '0.071',	 '   19'),
('2019-01-13T07:33:35.470Z',	  '30.0749',	  '138.8115',	  '423.84',	  '  4.5',	  '   mb',	  '   75',	  '3.149',	  ' 0.73',	  '   us',	 'us2000j3gg',	  '2019-01-14T09:04:24.368Z',	  '  Izu',	  'Islands,',	  'Japan',	  'region',	  'earthquake',	  '  6.9',	  '  7.8',	  '0.044',	  '  148',	 'reviewed'),
('2019-01-13T05:13:24.590Z',	  '50.4623',	  '148.95',	  '571.11',	  '  4.5',	  '   mb',	  '  117',	  '5.391',	  ' 0.76',	  '   us',	 'us2000j3fx',	  '2019-01-13T05:57:10.040Z',	  '171km',	  '    N',	  '   of',	  'Vostok,',	  'Russia',	  'earthquake',	  ' 11.1',	  '  7.1',	  '0.042',	 '  165'),
('2019-01-13T02:55:58.260Z',	  '3.7159',	  '128.8194',	  '   10',	  '  4.5',	  '   mb',	  '  173',	  '3.264',	  ' 0.82',	  '   us',	 'us2000j3fb',	  '2019-01-13T03:17:53.040Z',	  '237km',	  '  NNE',	  '   of',	  'Tobelo,',	  'Indonesia',	  'earthquake',	  '   11',	  '  1.4',	  ' 0.14',	 '   15'),
('2019-01-13T01:20:18.480Z',	  '3.6707',	  '128.7398',	  '27.95',	  '  4.9',	  '   mb',	  '  124',	  '3.189',	  ' 0.69',	  '   us',	 'us2000j3et',	  '2019-01-13T01:39:17.040Z',	  '229km',	  '  NNE',	  '   of',	  'Tobelo,',	  'Indonesia',	  'earthquake',	  '  8.4',	  '  6.6',	  '0.093',	 '   36'),
('2019-01-13T01:16:18.320Z',	  '3.6495',	  '128.6913',	  '   10',	  '  5.1',	  '  mww',	  '  111',	  ' 3.15',	  ' 1.12',	  '   us',	 'us2000j3es',	  '2019-01-13T01:34:16.040Z',	  '225km',	  '  NNE',	  '   of',	  'Tobelo,',	  'Indonesia',	  'earthquake',	  '  8.1',	  '  1.3',	  '0.073',	 '   18'),
('2019-01-13T00:34:42.710Z',	  '-27.2479',	  '-177.3375',	  '   10',	  '  4.9',	  '   mb',	  '  122',	  '2.057',	  ' 0.94',	  '   us',	 'us2000j3en',	  '2019-01-13T01:01:15.040Z',	  '230km',	  '  NNE',	  '   of',	  'Raoul',	  'Island,',	  '  New',	  'Zealand',	  'earthquake',	  '  4.5',	 '  1.9'),
('2019-01-12T21:48:44.180Z',	  '-7.2735',	  '129.2638',	  '128.29',	  '    5',	  '   mb',	  '   75',	  '2.136',	  ' 1.11',	  '   us',	 'us2000j3e5',	  '2019-01-12T22:05:16.040Z',	  '238km',	  '  WNW',	  '   of',	  'Saumlaki,',	  'Indonesia',	  'earthquake',	  '  7.8',	  '  7.1',	  '0.082',	 '   47'),
('2019-01-12T20:18:46.420Z',	  '-6.6001',	  '130.4656',	  '105.02',	  '  4.5',	  '   mb',	  '   95',	  '1.603',	  '    1',	  '   us',	 'us2000j3d2',	  '2019-01-13T05:17:51.040Z',	  '176km',	  '  NNW',	  '   of',	  'Saumlaki,',	  'Indonesia',	  'earthquake',	  '  6.6',	  '  8.4',	  '0.112',	 '   23'),
('2019-01-12T19:02:32.570Z',	  '-8.7994',	  '67.899',	  '   10',	  '  4.6',	  '   mb',	  '   90',	  '4.714',	  ' 0.73',	  '   us',	 'us2000j3cn',	  '2019-01-13T00:29:00.040Z',	  'Mid-Indian',	  'Ridge',	  'earthquake',	  ' 11.7',	  '  1.9',	  '0.098',	  '   31',	  'reviewed',	  '   us',	 '   us'),
('2019-01-12T17:13:17.380Z',	  '-5.8415',	  '152.2261',	  '   10',	  '  5.3',	  '  mww',	  '   21',	  ' 1.64',	  ' 0.89',	  '   us',	 'us2000j3bz',	  '2019-01-15T15:47:38.040Z',	  '164km',	  '    S',	  '   of',	  'Kokopo,',	  'Papua',	  '  New',	  'Guinea',	  'earthquake',	  '  7.5',	 '  1.8'),
('2019-01-12T16:22:34.450Z',	  '-19.1338',	  '-177.4169',	  '573.48',	  '  4.7',	  '   mb',	  '   82',	  '4.516',	  '    1',	  '   us',	 'us2000j3bq',	  '2019-01-12T16:49:21.040Z',	  '215km',	  '   NE',	  '   of',	  ' Ndoi',	  'Island,',	  ' Fiji',	  'earthquake',	  ' 15.7',	  ' 12.2',	 '0.081'),
('2019-01-12T14:13:01.720Z',	  '-8.4913',	  '119.7573',	  '97.02',	  '  4.6',	  '   mb',	  '   73',	  '2.457',	  ' 1.34',	  '   us',	 'us2000j3bl',	  '2019-01-12T16:02:32.040Z',	  ' 13km',	  '    W',	  '   of',	  'Cempa,',	  'Indonesia',	  'earthquake',	  '  8.4',	  '  7.1',	  '0.119',	 '   21'),
('2019-01-12T13:20:13.170Z',	  '18.1383',	  '120.7013',	  '60.99',	  '  4.7',	  '   mb',	  '  108',	  '4.669',	  ' 0.78',	  '   us',	 'us2000j3bg',	  '2019-01-13T00:14:05.836Z',	  '  3km',	  '    N',	  '   of',	  'Dingras,',	  'Philippines',	  'earthquake',	  '  3.2',	  '  7.9',	  '0.068',	 '   66'),
('2019-01-12T12:54:02.220Z',	  '-7.5917',	  '127.4827',	  '155.66',	  '  4.7',	  '   mb',	  '   50',	  '3.801',	  ' 0.88',	  '   us',	 'us2000j3bd',	  '2019-01-12T13:18:25.040Z',	  '236km',	  '  ENE',	  '   of',	  'Dili,',	  ' East',	  'Timor',	  'earthquake',	  '  7.7',	  '    7',	 '0.069'),
('2019-01-12T12:04:26.460Z',	  '-6.8198',	  '104.2141',	  '37.19',	  '  5.1',	  '   mb',	  '   78',	  '2.745',	  ' 0.97',	  '   us',	 'us2000j3b8',	  '2019-01-12T12:22:07.040Z',	  '153km',	  '  SSW',	  '   of',	  'Kotaagung,',	  'Indonesia',	  'earthquake',	  '  6.7',	  '    7',	  '0.063',	 '   81'),
('2019-01-12T11:19:03.060Z',	  '53.1001',	  '159.2971',	  '71.11',	  '    5',	  '   mb',	  '  100',	  '0.398',	  ' 0.61',	  '   us',	 'us2000j3b2',	  '2019-01-12T11:36:25.040Z',	  ' 43km',	  '    E',	  '   of',	  'Petropavlovsk-Kamchatskiy,',	  'Russia',	  'earthquake',	  '  9.6',	  '  6.2',	  '0.033',	 '  298'),
